假名,汉字,备注
せんせい,先生,老师
がくせい,学生,
ちゅうごく,中国,
しゅっしん,出身,籍贯
しゅみ,趣味,兴趣
カラオケ,Karaoke,卡拉OK，空オーケストラ
かぞく,家族,
しゃしん,写真,
いしゃ,医者,
こうこう,高校,
きょうし,教師,
かいしゃいん,会社員,公司职员
しゅふ,主婦,
いもうと,妹,
だいがくせい,大学生,
いぬ,犬,
じだい,時代,
こいびと,恋人,
あき,秋,
きせつ,季節,
てんき,天気,
あおい,青い,
たかい,高い,
すずしい,涼しい,（天气）凉爽
きもち,気持ち,体感
なつ,夏,
あつい,暑い,（天气）热
むしあつい,蒸し暑い,闷热
さむい,寒い,（天气）冷
かぜ,風,
つめたい,冷たい,（物体）凉
つよい,強い,
きょねん,去年,
だんとう,暖冬,
きのう,昨日,
きょう,今日,
きぶん,気分,心情
スポーツ,sports,
べんきょう,勉強,学习
あした,明日,
にほんご,日本語,
テスト,test,
むずかしい,難しい,
おもしろい,（面白い）,有趣
えらい,（偉い）,了不起
もみじ,紅葉,
ゆうめい,有名,
こきょう,故郷,
しずか,静か,
ところ,所,
きれい,綺麗,漂亮，干净
おおい,多い,
いつも,,一直
こんなに,,如此这般
にぎやか,賑やか,繁华
いぜん,以前,
こうつう,交通,
べんり,便利,
すき,好き,
さんち,産地,
さわやか,爽やか,清爽
きらい,嫌い,讨厌
にほん,日本,
いなか,田舎,农村
はじめて,初めて,
とても,,非常
たのしい,楽しい,
やま,山,
うえ,上,
みごと,見事,出色
いろ,色,
キャンパス,campus,
がくぶ,学部,
いくつ,　　　　　　　　,几个，几岁
ある,,有，在（无生命
センター,centre,
だいがく,大学,
えき,駅,车站
ちかい,近い,
どのぐらい,,多少
ところで,,话说
あそこ,,那边
あたらしい,新しい,
たてもの,建物,
わかる,分かる,知道，理解
いけ,池,
いる,居る,有，在（有生命
たくさん,,许多
いろいろ,色々,各种各样
ジュース,juice,
すくない,少ない,
ボールペン,ball(-point) pen,
やすい,安い,便宜
たいてい,大抵,
みせ,店,
よろしい,宜しい,行，可以
ひつよう,必要,
いく,行く,去
でんしゃ,電車,
くる,来る,
じゅぎょう,授業,
おおきい,大きい,
きょうしつ,教室,
とおい,遠い,
いえ,家,
じてんしゃ,自転車,
りよう,利用,
きんようび,金曜日,星期五
ごご,午後,
なんじ,何時,
はじまる,始まる,
とる,撮る,拍摄
しばらく,暫く,许久
にちようび,日曜日,星期日
けしき,景色,
みる,見る,
きねん,記念,
さつえい,撮影,
とる,取る,吃
ちかく,近く,
ちいさな,小さな,
たべる,食べる,
おいしい,美味しい,
たんじょうび,誕生日,
セーター,sweater,
かのじょ,彼女,
てづくり,手作り,自制
ケーキ,cake,
うらやましい,羨ましい,
プレゼント,present,
うれしい,嬉しい,
あかい,赤い,
えらぶ,選ぶ,
でかける,出かける,
ともだち,友達,
かいもの,買い物,
かう,買う,
とどける,届ける,送到
あつまる,集まる,聚集
しんかんせん,新幹線,
きく,聞く,
どようび,土曜日,星期六
ごぜんちゅう,午前中,上午
レポート,report,
かく,書く,
あめ,雨,
ふる,降る,
ニュース,news,
おわる,終わる,
ちいき,地域,
にんげんかんけい,人間関係,人际关系
なまえ,名前,名字
きかい,機会,
ざんねん,残念,遗憾
しょくじ,食事,进餐
さしみ,刺身,
さかな,魚,
いれる,入れる,放进
おさけ,お酒,
おふろ,お風呂,洗澡水
おしえる,教える,
ようい,用意,准备
できる,出来る,做完
せつめい,説明,
ながす,流す,洗掉
つかる,浸かる,
つかう,使う,
ふかい,深い,
もったいない,,可惜
ふつう,普通,
シャワー,shower,
つくる,作る,
がいこう,外交,
かならず,必ず,一定
さいこう,最高,
よぶ,呼ぶ,呼唤
さそう,誘う,邀请
まわる,回る,转
もういちど,もう一度,再一次
もどる,戻る,返回
はやい,早い,
はやく,早く,
でる,出る,
おきる,起きる,起床
いそぐ,急ぐ,
したく,支度,准备
ちゅうごくご,中国語,
はっぴょう,発表,pre
きんちょう,緊張,
じょうず,上手,（别人）擅长
いがい,以外,
なつやすみ,夏休み,暑假
ぶんしょう,文章,
てがみ,手紙,信
ぶっか,物価,
あたま,頭,
いたい,痛い,
くすり,薬,
のむ,飲む,
しんぱい,心配,担心
だいじ,大事,保重
つたえる,伝える,转告
スーパー,super(market),
しゅくだい,宿題,作业
けっか,結果,
コーヒー,coffee,
のみもの,飲み物,
きっさてん,喫茶店,茶馆
コーラ,cola,
テニス,tennis,
やきゅう,野球,棒球
とくい,得意,擅长
にんき,人気,
たっきゅう,卓球,乒乓球
バレーボール,volleyball,
ピアノ,piano,
めったに,,几乎（没有） 
ひく,弾く,
ならう,習う,学习，练习
チャンス,chance,
ことわざ,諺,
まにあう,間に合う,（时间）赶得上
いっしょに,一緒に,一起
こんご,今後,
おもう,思う,
しらべる,調べる,查
にほんじん,日本人,
パソコン,perso(nal) com(puter),
